,dy_obs,dy_obs_level,dc_obs,dc_obs_level,dinv_obs,dinv_obs_level,dx_obs,dx_obs_level,dm_obs,dm_obs_level,pi_obs,pi_obs_level,dw_obs,dw_obs_level,dh_obs,dh_obs_level,i_R_obs,i_R_obs_level,i_3m_obs,i_3m_obs_level,ds_obs,ds_obs_level,dpO_obs,dpO_obs_level,u_obs,dyS_obs,dyS_obs_level,db_obs,db_obs_level,covid_flag
2009Q1,-1.0469959925478085,13.514293296727544,-0.346462593139205,12.768897564406545,-7.126657211217372,12.350705315325863,-2.4050881725870368,13.145257300150835,-11.686273136702498,12.541758859030422,-2.654750755281801,4.490507277667952,1.2465811416256258,6.0407307884109,2.7889990013693957,4.210645017918261,-0.021132681497632144,2.6587301587301586,,,-0.1315398829640549,2.191341343807531,-22.00655897750893,3.7959863947032604,-0.6782631208791203,-3.2427089584622517,-3.1109201857060365,-0.9836956521739149,0.06516332590641317,0
2009Q2,-0.5033121472493269,13.515490011981933,0.9955276402467873,12.786775949224651,-2.9020434775675548,12.329948195185715,-2.677576339282376,13.121905272490293,-0.6433587391526904,12.544243438786967,1.3651599857416792,4.499809670330265,,,3.76315892221084,4.2612704335380815,,,,,,,27.127005817851288,4.07545834029505,-0.4991581208791205,-3.558501890747462,-3.426713117991247,-1.2170289855072483,0.06297479916138839,0
2009Q3,-0.8830396961204718,13.512889451747611,0.2692894547876491,12.797391952188166,-3.1072555556265464,12.307138954264977,0.9500345026214407,13.13482935324879,0.4310593098299601,12.55747219903334,-2.355797079183622,4.499809670330265,,,0.5175785962987278,4.279440045898781,-0.3733152211801718,1.25,,,-2.793250747344639,2.1678755174069826,13.78743741300655,4.221534601838393,-0.4128141208791205,-3.441184776223604,-3.3093960034673886,-1.2836956521739147,0.06234862506453529,0
2009Q4,-0.03557658690647458,13.518763522605429,-0.17392200249365153,12.803575840578867,4.669929146870052,12.362101560369204,-0.5365288120531642,13.13288780086054,0.048817912828445276,12.566878545309697,-0.13972492893735966,4.505349850705881,,,-1.2993826397712083,4.279440045898781,-0.3215574086801718,1.45703125,,,-4.47872468747354,2.1275549516051453,8.194521634398274,4.311681705595652,-0.5780831208791204,-3.0204571409123218,-2.8886683681561065,-0.9503623188405816,0.0654755819589115,0
2010Q1,1.281449951590316,13.537807858848215,1.6877186756777318,12.828376135751283,-11.66455760072043,12.253719298997527,2.2468626632052477,13.158780163224876,2.2763867390031205,12.5985605798478,3.349181689042022,4.519612297626445,-0.7833896348720657,6.076953933123397,1.9706634913222432,4.312140507209715,-0.2483152211801718,1.75,,,-3.9917544938525564,2.092104087739518,1.6335106554507945,4.336218699563437,-0.11298912087912072,-2.40886922104434,-2.2770804482881246,-1.017028985507248,0.06485097231961627,0
2010Q2,-0.868426031397876,13.535353435261118,-0.9574844926988434,12.826724399239932,0.7670281539186213,12.269652895172241,-2.2206911541488608,13.13999698741567,3.713588503525676,12.64461463203113,-0.03862912207012448,4.5254052175192285,,,2.385244698825394,4.3489867805956814,,,,,,,1.8540529621605757,4.36296111659832,0.006649879120879554,-1.1057522835301958,-0.9739635107739808,-1.4170289855072484,0.06109509935981083,0
2010Q3,-0.2605175046857673,13.538978096941143,0.06149617215466485,12.835262469377117,-2.326770878491184,12.254648501022857,-2.19257226737554,13.121495000474196,-1.0622355408502333,12.6429104437707,-5.254360487490365,4.518158808998462,,,-1.8175185139709404,4.343805421853684,-0.1858152211801718,2.0,,,-2.2632981403957144,2.073937787408459,-2.9653234633377474,4.341509769378219,-0.1667181208791204,-0.3257816208014497,-0.19399284804523464,-1.517028985507248,0.060153922819747144,0
2010Q4,-0.7724870604018526,13.537483063064007,-0.21829611630107315,12.841002616629744,2.64628356425924,12.289374651300976,0.7818644665337959,13.132737380871816,-1.7352628249792463,12.634475982668981,1.5523215792894924,4.5279291056446445,,,-1.4293371739797733,4.3425058765115985,-0.1858152211801718,2.0,,,0.77109073883011,2.086115375869658,11.089507800524231,4.460606734796738,-0.22360712087912038,-0.10248749176977937,0.029301280986435696,-1.3836956521739152,0.06140862812864342,0
2011Q1,0.6761226645460832,13.55047412643635,0.6143656709366808,12.855069381754749,5.527585280562205,12.352913818742126,-0.34890567206321893,13.132672059883467,5.466374906524328,12.698057898882297,-0.20100644899848907,4.533316082220107,1.0084081690671667,6.117656572345742,3.771412115513572,4.393213824064446,-0.1858152211801718,2.0,,,-3.34400462926438,2.0571420106499123,18.942522562383854,4.658233847833854,-0.4948451208791207,0.5539961997341158,0.6857849724903309,-1.1170289855072477,0.06391332574365285,0
2011Q2,0.05137309225846365,13.557217694085818,-0.22744357339349086,12.860718054436452,-3.549201552018881,12.325685117857464,-0.8965796623778755,13.12712999899197,-7.10937278360664,12.635882338194303,0.21472229902797801,4.539742380665636,,,1.3837051399244282,4.420044701861403,,,,,,,9.584468120085518,4.762280416447986,-0.2781181208791206,0.5826551176115891,0.7144438903678041,-0.7170289855072483,0.06765864847381486,0
